SID,SCHID,GENDER,Y2S2_1,Y2S2_2,Y2S2_3,Y2S2_4,Y2S2_5,Y2S2_6,Y2S2_7,Y2S2_8,Y2S2_9,Y2S2_10,Y2S2_11,Y2S2_12,Y2S2_13,Y2S2_14,Y2S2_15,Y2S2_16,Y2S2_17,Y2S2_18,Y2S2_19,Y2S2_20,Y2S2_21,Y2S2_22,Y2S2_23,Y2S2_24,Y2S2_25,Y2S2_26,Y2S2_27,Y2S2_28,Y2S2_29,Y2S2_30,Y2L3_1,Y2L3_2,Y2L3_3,Y2L3_4,Y2L6_15,Y2L6_16,Y2L6_17,Y2L6_18,Y2L6_19,Y2L6_5,Y2L6_6,Y2L6_7,Y2L6_8,Y2L6_9,Y2L6_10,Y2L6_11,Y2L6_12,Y2L6_13,Y2L6_14,Y2S36_1,Y2S36_2,Y2S36_3,Y2KOR_S,Y2ENG_S,Y2MAT_S,Y2KOR_V,Y2ENG_V,Y2MAT_V
2358,48,1,5,4,4,4,4,4,3,3,5,5,5,5,4,4,4,4,4,3,3,2,2,2,2,3,3,2,2,2,3,3,2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,46,25,10,352,311,288
2359,49,2,5,4,3,4,4,4,3,4,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,5,5,4,54,46,40,376,389,386
2360,49,2,5,5,5,5,5,5,5,3,3,3,3,4,4,4,2,2,2,2,2,2,2,2,2,3,3,3,5,5,5,5,4,4,4,4,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,5,5,5,84,61,45,467,418,397
2361,49,2,5,4,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,2,2,-1,3,2,2,2,2,2,2,2,2,2,2,2,5,4,4,73,76,50,424,445,406
2362,49,2,5,5,4,5,4,3,4,3,5,5,4,5,5,5,4,4,4,4,3,2,4,3,3,3,-1,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,85,64,40,483,423,386
2363,49,2,4,4,3,4,4,3,5,3,4,3,4,3,3,3,2,2,1,3,3,2,3,4,4,4,4,3,4,2,4,4,3,4,3,3,3,3,2,3,3,2,2,2,2,2,3,3,2,3,3,5,5,4,85,79,50,483,451,406
2364,49,2,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,2,72,31,20,424,344,289
2365,49,2,5,3,4,4,4,3,3,3,4,5,5,5,5,5,4,4,4,4,2,1,3,2,1,3,2,2,4,1,1,2,3,3,3,3,2,2,2,2,3,3,2,3,3,3,3,2,2,3,2,5,5,5,79,76,75,455,445,447
2366,49,2,4,4,3,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,3,3,4,2,2,2,2,4,3,3,4,4,4,88,79,85,501,451,467
2367,49,2,4,4,3,4,3,3,5,2,3,4,5,5,5,4,3,4,3,3,3,3,2,3,3,3,5,4,4,2,5,5,4,4,4,3,3,3,4,3,3,3,2,4,3,2,4,3,4,4,4,5,5,5,88,94,60,501,503,423
2368,49,2,3,3,4,4,4,4,4,3,3,3,4,4,4,4,5,4,3,3,3,4,5,3,2,2,2,3,3,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,78,46,40,443,389,386
